,S,Qu,I,D,I+D,H,R,QR,E,tot,total,cost
0.02,"[98.78582924 98.71216518 98.63910062 98.56661335 98.49468192 98.42328562
 98.35240439 98.28201882 98.22974646 98.17874676 98.12897511 98.08038889
 98.03294734 97.98661147 97.94134398 97.89314273 97.84580483 97.79930701
 97.75362697 97.70874338 97.6646358  97.62128462 97.57553441 97.53053036
 97.48625407 97.44268749 97.39981286 97.3576127  97.31606982 97.28125297
 97.24729897 97.2141846  97.18188734 97.15038535 97.11965745 97.08968309
 97.06037606 97.0318077  97.00395537 96.9767972  96.95031204 96.92447942
 96.89927952 96.87349877 96.84827395 96.82359035 96.79943366 96.77578998
 96.75264573 96.72998775 96.70692235 96.68427488 96.66203349 96.64018666
 96.61872322 96.59763232 96.57690341 96.5576449  96.53880272 96.52036544
 96.502322   96.48466168 96.4673741  96.4504492  96.43142434 96.41255834
 96.39383686 96.37524494 96.3567669  96.33838629 96.32008578 96.30526197
 96.29073433 96.27649101 96.26252045 96.2488114  96.23535284 96.22213401
 96.20572487 96.18938877 96.17312354 96.15692711 96.14079743 96.1247325
 96.10873035 96.0878899  96.06661042 96.04487713 96.02267452 95.9999863
 95.97679537 95.95308374 95.93234566 95.91150631 95.89055969 95.86949962
 95.84831972 95.82701341 95.8055739  95.78584882 95.76616578 95.74651918
 95.72690327 95.7073121  95.6877395  95.66817912]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[0.91832918 0.90665248 0.89544463 0.88468511 0.87435452 0.86443446
 0.85490756 0.84575735 0.81880531 0.79308496 0.76852713 0.74506705
 0.722644   0.70120111 0.68068505 0.66484002 0.64961768 0.63498329
 0.62090436 0.60735042 0.59429298 0.5817053  0.57128597 0.56112088
 0.55120421 0.54153039 0.53209403 0.52288999 0.51391333 0.49991895
 0.48638169 0.47328216 0.46060202 0.44832396 0.43643162 0.42490948
 0.41334224 0.40214617 0.39130842 0.38081658 0.37065874 0.36082342
 0.35129956 0.34325651 0.33542889 0.3278108  0.32039647 0.31318034
 0.30615697 0.2993211  0.2931385  0.28713931 0.28131763 0.27566777
 0.27018428 0.26486187 0.25969546 0.25317933 0.2468886  0.24081276
 0.2349419  0.22926673 0.22377853 0.21846909 0.21555338 0.21276514
 0.21010589 0.20757756 0.20518259 0.2029239  0.20080498 0.19551671
 0.19045713 0.18561558 0.18098214 0.17654759 0.17230332 0.16824132
 0.16710869 0.16601666 0.16496322 0.16394652 0.16296484 0.16201661
 0.16110036 0.1642088  0.16740908 0.17070542 0.17410228 0.17760437
 0.18121667 0.18494444 0.18541593 0.18593452 0.18650091 0.18711588
 0.18778034 0.18849527 0.18926177 0.18841752 0.1876149  0.18685466
 0.18613766 0.18546481 0.18483713 0.18425571]","[0.02553568 0.04211362 0.05729532 0.07118785 0.08389035 0.09549467
 0.10608585 0.11574264 0.12587233 0.13471271 0.14238039 0.14898237
 0.15461676 0.15937355 0.16333519 0.16648731 0.16907001 0.17113698
 0.17273735 0.17391613 0.1747145  0.17517012 0.1765462  0.17758209
 0.17830742 0.1787496  0.178934   0.1788841  0.17862161 0.17768732
 0.1765077  0.17510984 0.17351853 0.1717564  0.16984419 0.16780079
 0.16608499 0.16421587 0.16221289 0.16009382 0.15787491 0.15557101
 0.15319565 0.15072101 0.14823191 0.14573437 0.14323384 0.14073527
 0.13824313 0.13576144 0.1336588  0.13155026 0.12944072 0.1273346
 0.12523586 0.12314809 0.12107445 0.11947509 0.11781648 0.11610861
 0.1143605  0.11258027 0.11077526 0.10895208 0.10721804 0.10552884
 0.10388461 0.10228555 0.10073188 0.09922389 0.09776193 0.09643108
 0.09504831 0.09362336 0.092165   0.09068115 0.08917889 0.08766463
 0.08663134 0.08563888 0.08468562 0.08376994 0.08289033 0.0820453
 0.08123343 0.08111081 0.08110839 0.08122117 0.08144467 0.08177493
 0.08220844 0.08274213 0.08343955 0.08410468 0.08474154 0.0853539
 0.08594529 0.08651902 0.08707823 0.08751969 0.08790675 0.08824488
 0.08853924 0.08879464 0.08901561 0.08920644]","[0.94386486 0.9487661  0.95273995 0.95587296 0.95824487 0.95992913
 0.96099341 0.96149999 0.94467764 0.92779767 0.91090752 0.89404941
 0.87726076 0.86057465 0.84402024 0.83132733 0.81868769 0.80612027
 0.79364171 0.78126655 0.76900747 0.75687542 0.74783217 0.73870297
 0.72951163 0.72027998 0.71102803 0.7017741  0.69253494 0.67760627
 0.66288939 0.648392   0.63412054 0.62008037 0.60627581 0.59271028
 0.57942723 0.56636205 0.5535213  0.5409104  0.52853365 0.51639443
 0.50449522 0.49397752 0.4836608  0.47354516 0.46363031 0.45391561
 0.4444001  0.43508254 0.4267973  0.41868957 0.41075835 0.40300237
 0.39542014 0.38800995 0.38076992 0.37265442 0.36470509 0.35692137
 0.3493024  0.341847   0.3345538  0.32742117 0.32277142 0.31829398
 0.3139905  0.30986311 0.30591447 0.30214779 0.29856691 0.29194779
 0.28550544 0.27923894 0.27314715 0.26722874 0.26148221 0.25590595
 0.25374003 0.25165554 0.24964884 0.24771646 0.24585517 0.24406191
 0.24233379 0.24531961 0.24851746 0.25192658 0.25554695 0.2593793
 0.26342511 0.26768657 0.26885548 0.2700392  0.27124244 0.27246978
 0.27372563 0.27501429 0.27634    0.27593722 0.27552165 0.27509955
 0.2746769  0.27425945 0.27385274 0.27346215]","[0.01437358 0.01446008 0.01455106 0.01464502 0.01474072 0.01483705
 0.0149331  0.0150281  0.01482269 0.01462244 0.01442655 0.01423433
 0.01404521 0.01385871 0.01367446 0.01355424 0.01343232 0.01330871
 0.01318347 0.01305666 0.01292836 0.01279868 0.01272197 0.01264114
 0.01255639 0.01246797 0.01237612 0.01228108 0.0121831  0.01195707
 0.01173427 0.01151461 0.01129797 0.01108428 0.01087347 0.0106655
 0.01045666 0.01025097 0.01004841 0.00984892 0.00965248 0.00945907
 0.00926869 0.00910054 0.00893443 0.00877042 0.00860856 0.0084489
 0.0082915  0.00813637 0.00799618 0.00785838 0.00772297 0.00758996
 0.00745935 0.00733112 0.00720528 0.00705633 0.00691114 0.00676955
 0.0066314  0.00649656 0.00636491 0.00623632 0.00615922 0.00608368
 0.00600989 0.00593802 0.00586826 0.00580078 0.00573575 0.00560109
 0.00547156 0.00534689 0.00522683 0.00511116 0.00499966 0.00489216
 0.00485355 0.00481556 0.00477825 0.00474167 0.00470585 0.00467084
 0.00463665 0.00469166 0.00474838 0.00480708 0.00486804 0.00493152
 0.00499775 0.00506696 0.00506922 0.00507372 0.00508034 0.00508898
 0.00509957 0.00511202 0.00512629 0.00510041 0.00507667 0.00505493
 0.00503504 0.0050169  0.00500041 0.00498549]","[0.25535677 0.32398448 0.3929353  0.46214636 0.53156062 0.60112643
 0.67079712 0.74053058 0.80968099 0.87761299 0.9443245  1.00981661
 1.07409321 1.13716063 1.19902745 1.25983808 1.31973518 1.37872314
 1.43680758 1.49399527 1.55029394 1.60571218 1.66036706 1.71436718
 1.76770697 1.82038249 1.87239135 1.9237325  1.97440618 2.02420611
 2.0729311  2.12059681 2.16721936 2.2128153  2.25740151 2.30099516
 2.34361511 2.38527911 2.42600321 2.46580385 2.50469783 2.54270221
 2.57983427 2.61615266 2.65171496 2.68653566 2.72062928 2.7540103
 2.78669313 2.81869213 2.85005166 2.88081573 2.91099716 2.9406087
 2.96966298 2.99817251 3.0261497  3.053569   3.08040399 3.10666678
 3.13236944 3.15752392 3.1821421  3.20623573 3.22990025 3.25323328
 3.27624729 3.29895492 3.32136898 3.3435025  3.36536879 3.38686481
 3.40788486 3.42844189 3.44854875 3.46821821 3.48746289 3.50629532
 3.52484531 3.54324075 3.56148739 3.5795907  3.59755593 3.6153881
 3.63309203 3.65083902 3.66881077 3.68702253 3.70548954 3.72422707
 3.74325051 3.76257538 3.7820991  3.80170705 3.82140061 3.84118148
 3.86105169 3.88101356 3.90106972 3.92115938 3.941218   3.96124506
 3.98124042 4.00120439 4.02113764 4.04104127]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[0.00057556 0.00062415 0.00067307 0.00072231 0.00077187 0.00082177
 0.00087198 0.00092252 0.00107222 0.00122015 0.00136632 0.00151076
 0.00165349 0.00179453 0.00193387 0.00213763 0.00233997 0.00254087
 0.00274027 0.00293814 0.00313442 0.00332909 0.00354438 0.00375836
 0.00397094 0.00418206 0.00439164 0.00459963 0.00480596 0.00497759
 0.00514626 0.00531198 0.00547479 0.0056347  0.00579175 0.00594597
 0.00612494 0.00630016 0.00647171 0.00663963 0.006804   0.00696487
 0.0071223  0.00727051 0.00741587 0.00755841 0.00769818 0.00783521
 0.00796954 0.0081012  0.00823252 0.00836145 0.00848803 0.00861231
 0.00873432 0.0088541  0.00897169 0.00907535 0.00917706 0.00927686
 0.00937477 0.00947084 0.00956509 0.00965757 0.00974476 0.00983072
 0.00991546 0.009999   0.01008139 0.01016263 0.01024277 0.01032434
 0.01040381 0.01048128 0.01055682 0.0106305  0.0107024  0.01077257
 0.01083624 0.01089938 0.01096198 0.01102406 0.01108561 0.01114665
 0.01120719 0.01125981 0.01131297 0.01136668 0.01142095 0.0114758
 0.01153126 0.01158735 0.01163054 0.01167372 0.01171692 0.01176014
 0.0118034  0.01184671 0.0118901  0.01195417 0.0120179  0.01208129
 0.01214437 0.01220717 0.0122697  0.01233198]","[0.02553568 0.02744702 0.02933622 0.03120407 0.03305132 0.03487871
 0.03668694 0.03847666 0.0416041  0.04463509 0.04757396 0.0504248
 0.05319146 0.05587761 0.0584867  0.06102091 0.0634893  0.06589456
 0.0682392  0.07052563 0.0727561  0.07493275 0.07839132 0.08179057
 0.08513171 0.08841594 0.09164443 0.09481833 0.09793876 0.10040053
 0.10280098 0.10514181 0.1074247  0.10965122 0.11182294 0.11394134
 0.11649312 0.11897574 0.12139134 0.123742   0.1260297  0.12825638
 0.13042391 0.13249456 0.13451943 0.13649969 0.13843651 0.14033101
 0.1421843  0.14399743 0.14616016 0.14827846 0.15035361 0.1523868
 0.15437924 0.15633208 0.15824643 0.16057415 0.16284561 0.16506264
 0.167227   0.16934038 0.1714044  0.17342061 0.1755198  0.17759345
 0.17964271 0.18166871 0.18367262 0.18565564 0.187619   0.18961288
 0.19155498 0.19344737 0.19529203 0.19709087 0.19884571 0.2005583
 0.20276957 0.20496892 0.20715688 0.20933395 0.21150061 0.21365729
 0.21580445 0.21866729 0.22158899 0.22457154 0.22761698 0.23072751
 0.23390541 0.23715308 0.24048948 0.24383481 0.24719005 0.25055618
 0.25393419 0.25732511 0.26072998 0.26403389 0.26732947 0.27061767
 0.27389951 0.27717602 0.28044827 0.28371735]","[0.94386486 1.01752892 1.09059348 1.16308075 1.23501218 1.30640848
 1.37728971 1.44767528 1.49994764 1.55094734 1.60071899 1.64930521
 1.69674676 1.74308263 1.78835012 1.83655137 1.88388927 1.93038709
 1.97606713 2.02095072 2.0650583  2.10840948 2.15415969 2.19916375
 2.24344003 2.28700661 2.32988124 2.3720814  2.41362428 2.44844113
 2.48239513 2.5155095  2.54780676 2.57930875 2.61003665 2.64001101
 2.66931804 2.6978864  2.72573873 2.7528969  2.77938206 2.80521469
 2.83041458 2.85619533 2.88142015 2.90610375 2.93026044 2.95390412
 2.97704837 2.99970635 3.02277175 3.04541922 3.06766061 3.08950744
 3.11097088 3.13206179 3.15279069 3.1720492  3.19089138 3.20932866
 3.2273721  3.24503242 3.26232    3.2792449  3.29826976 3.31713576
 3.33585724 3.35444916 3.3729272  3.39130781 3.40960832 3.42443213
 3.43895977 3.45320309 3.46717365 3.4808827  3.49434126 3.50756009
 3.52396923 3.54030533 3.55657056 3.57276699 3.58889667 3.6049616
 3.62096375 3.6418042  3.66308368 3.68481697 3.70701958 3.7297078
 3.75289873 3.77661036 3.79734844 3.81818779 3.83913441 3.86019448
 3.88137438 3.90268069 3.9241202  3.94384528 3.96352832 3.98317492
 4.00279083 4.02238201 4.0419546  4.06151498]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]"
0.053793103448275856,"[98.78582924 98.7133693  98.64385988 98.57716115 98.51314077 98.45167348
 98.39264063 98.3359298  98.29518076 98.25671592 98.2203954  98.18608864
 98.15367373 98.12303682 98.09407152 98.064226   98.03585647 98.00888393
 97.98323406 97.95883689 97.93562656 97.91354099 97.8909795  97.8694908
 97.84902003 97.8295152  97.81092709 97.79320907 97.77631696 97.76260525
 97.74965525 97.73742348 97.72586904 97.71495342 97.70464038 97.6948958
 97.68567034 97.67695925 97.66873242 97.66096155 97.65362008 97.64668306
 97.64012706 97.63363002 97.62747091 97.62163136 97.61609405 97.61084263
 97.60586166 97.60113657 97.59647678 97.59204306 97.58782354 97.58380705
 97.579983   97.57634141 97.57287285 97.56974241 97.56677337 97.56395697
 97.56128497 97.55874956 97.55634341 97.5540596  97.55157296 97.54918208
 97.54688169 97.54466674 97.54253238 97.54047395 97.53848695 97.53692517
 97.53544136 97.53403101 97.53268991 97.53141409 97.53019981 97.52904356
 97.52764889 97.52630169 97.5250002  97.52374272 97.52252762 97.52135333
 97.52021836 97.51878797 97.51737052 97.51596559 97.51457274 97.51319153
 97.5118215  97.5104622  97.5093073  97.50818124 97.50708301 97.50601163
 97.50496616 97.50394568 97.50294931 97.50205861 97.50119623 97.50036102
 97.4995519  97.49876779 97.49800768 97.4972706 ]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[0.91832918 0.87652954 0.83695753 0.79947827 0.7639659  0.73030297
 0.69837986 0.66809416 0.62543059 0.58578811 0.5489324  0.51464872
 0.48274018 0.45302616 0.42534089 0.40183937 0.37980295 0.35912785
 0.33971852 0.32148692 0.30435189 0.28823854 0.27391537 0.26034816
 0.24749553 0.23531842 0.22378    0.21284552 0.2024822  0.19062696
 0.17950242 0.16906045 0.15925637 0.15004865 0.14139868 0.13327055
 0.125506   0.11821545 0.11136879 0.1049379  0.09889649 0.09322
 0.08788546 0.08316285 0.07870418 0.07449421 0.07051862 0.06676394
 0.06321749 0.05986734 0.05679641 0.05389513 0.05115354 0.04856231
 0.04611267 0.04379639 0.04160575 0.0393026  0.03713776 0.03510209
 0.0331871  0.03138492 0.02968828 0.02809041 0.02686953 0.02571299
 0.02461763 0.02358047 0.02259874 0.0216698  0.02079123 0.01961914
 0.01852253 0.01749606 0.0165348  0.01563423 0.01479017 0.01399875
 0.01349073 0.01300387 0.0125371  0.0120894  0.01165985 0.01124758
 0.01085175 0.01074037 0.01063155 0.01052534 0.0104218  0.01032099
 0.01022295 0.01012774 0.00985209 0.00958636 0.00933017 0.00908315
 0.00884495 0.00861525 0.00839372 0.00810702 0.00783185 0.00756773
 0.00731424 0.00707093 0.00683742 0.00661331]","[0.02553568 0.07106068 0.11124554 0.14657853 0.17750687 0.20444
 0.22775272 0.24778797 0.26569587 0.2801059  0.29142113 0.30000423
 0.30618128 0.31024525 0.31245921 0.31300418 0.31226794 0.31041777
 0.30760376 0.30396044 0.29960826 0.29465495 0.28978579 0.2844736
 0.27879075 0.2728023  0.26656662 0.26013598 0.25355709 0.24669069
 0.2396697  0.23254391 0.22535705 0.21814745 0.21094854 0.20378936
 0.19682156 0.18991619 0.18309483 0.1763759  0.16977501 0.16330521
 0.15697731 0.15079043 0.14477881 0.13894458 0.1332889  0.12781205
 0.12251357 0.11739234 0.11251759 0.10781259 0.10327493 0.0989018
 0.09469008 0.09063637 0.08673705 0.08306338 0.07951445 0.07608944
 0.07278708 0.0696057  0.06654329 0.06359759 0.06077325 0.05807641
 0.05550183 0.05304444 0.05069938 0.04846195 0.04632765 0.04430374
 0.04235293 0.04047449 0.03866744 0.03693058 0.03526252 0.03366174
 0.03216331 0.030739   0.02938489 0.02809726 0.02687262 0.02570763
 0.02459917 0.02358587 0.02263694 0.02174801 0.02091501 0.02013419
 0.01940205 0.01871534 0.01807524 0.0174618  0.01687382 0.01631014
 0.01576966 0.01525135 0.01475421 0.01427227 0.01380552 0.01335365
 0.01291633 0.01249324 0.01208404 0.0116884 ]","[0.94386486 0.94759022 0.94820307 0.9460568  0.94147277 0.93474297
 0.92613258 0.91588213 0.89112646 0.86589401 0.84035353 0.81465296
 0.78892146 0.76327141 0.7378001  0.71484356 0.69207089 0.66954562
 0.64732227 0.62544735 0.60396014 0.58289349 0.56370116 0.54482176
 0.52628628 0.50812072 0.49034662 0.4729815  0.45603928 0.43731764
 0.41917212 0.40160436 0.38461342 0.3681961  0.35234721 0.33705992
 0.32232756 0.30813164 0.29446362 0.28131381 0.2686715  0.2565252
 0.24486277 0.23395328 0.22348299 0.21343879 0.20380752 0.19457599
 0.18573106 0.17725968 0.16931399 0.16170772 0.15442847 0.14746411
 0.14080275 0.13443276 0.1283428  0.12236598 0.11665221 0.11119153
 0.10597418 0.10099062 0.09623157 0.091688   0.08764277 0.0837894
 0.08011945 0.07662491 0.07329811 0.07013176 0.06711888 0.06392289
 0.06087547 0.05797055 0.05520224 0.05256481 0.05005268 0.04766049
 0.04565404 0.04374287 0.04192198 0.04018667 0.03853247 0.03695521
 0.03545092 0.03432624 0.03326849 0.03227335 0.03133682 0.03045519
 0.029625   0.02884307 0.02792733 0.02704816 0.02620399 0.02539329
 0.02461461 0.02386659 0.02314793 0.02237929 0.02163737 0.02092138
 0.02023057 0.01956417 0.01892146 0.01830171]","[0.01437358 0.01445958 0.01454719 0.01463252 0.01471237 0.01478415
 0.01484579 0.01489566 0.01464866 0.01440035 0.01414998 0.01389708
 0.01364134 0.01338265 0.01312103 0.01291151 0.01269394 0.01246906
 0.01223762 0.01200038 0.0117581  0.01151153 0.01130403 0.01108953
 0.01086901 0.0106434  0.0104136  0.01018044 0.00994472 0.00963219
 0.00932513 0.00902367 0.00872795 0.00843809 0.00815421 0.0078764
 0.00759945 0.0073293  0.00706596 0.00680944 0.00655973 0.00631682
 0.00608068 0.00586293 0.00565062 0.0054438  0.00524252 0.00504678
 0.00485659 0.00467195 0.00449772 0.00432858 0.0041645  0.00400544
 0.00385136 0.00370219 0.00355788 0.00341162 0.00327071 0.00313501
 0.00300437 0.00287863 0.00275766 0.0026413  0.00254667 0.00245461
 0.00236516 0.00227837 0.00219424 0.00211279 0.00203402 0.00194121
 0.0018527  0.00176827 0.00168774 0.00161091 0.00153762 0.00146771
 0.00141425 0.00136243 0.00131224 0.00126367 0.0012167  0.00117131
 0.00112748 0.00109854 0.00107005 0.0010421  0.00101473 0.00098802
 0.000962   0.00093671 0.00090601 0.0008764  0.00084786 0.00082034
 0.00079383 0.00076828 0.00074366 0.0007156  0.00068877 0.00066311
 0.00063857 0.00061508 0.0005926  0.00057107]","[0.25535677 0.32395675 0.3927168  0.46142726 0.52990232 0.59797786
 0.66550948 0.73237072 0.79797421 0.86177383 0.9237415  0.98386039
 1.04212355 1.09853263 1.15309677 1.20591407 1.25708245 1.30661682
 1.35453631 1.40086374 1.44562504 1.48884878 1.53061864 1.57101341
 1.6100561  1.64777184 1.68418749 1.71933139 1.75323305 1.78584118
 1.81711027 1.84708194 1.87579784 1.9032995  1.92962813 1.95482454
 1.97892891 2.00198043 2.02401763 2.04507835 2.06519973 2.0844181
 2.10276895 2.12029737 2.13704679 2.1530485  2.16833286 2.18292932
 2.19686633 2.21017147 2.2228774  2.23501559 2.24661021 2.25768455
 2.26826103 2.27836124 2.28800593 2.29720929 2.30598483 2.31435137
 2.32232702 2.32992916 2.33717451 2.34407912 2.35066937 2.35697084
 2.36299713 2.36876122 2.37427558 2.37955211 2.38460221 2.38942449
 2.3940173  2.39839134 2.40255685 2.40652367 2.4103012  2.41389845
 2.41733418 2.42062623 2.42378135 2.42680593 2.42970604 2.43248744
 2.4351556  2.43772714 2.44021868 2.4426349  2.44498015 2.44725854
 2.44947391 2.45162987 2.45372331 2.45575048 2.45771403 2.45961646
 2.4614602  2.46324756 2.46498073 2.46665894 2.46828123 2.46984957
 2.47136587 2.47283198 2.47424969 2.47562074]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[0.00057556 0.00062415 0.00067306 0.00072227 0.00077177 0.00082153
 0.00087152 0.00092169 0.00106991 0.00121589 0.00135958 0.00150094
 0.00163993 0.00177649 0.00191058 0.00210487 0.00229625 0.00248458
 0.00266975 0.00285164 0.00303016 0.00320521 0.00339667 0.0035845
 0.00376858 0.00394884 0.0041252  0.0042976  0.00446599 0.00460374
 0.00473724 0.00486655 0.00499174 0.00511289 0.00523006 0.00534334
 0.00547374 0.00559938 0.00572037 0.00583686 0.00594896 0.00605682
 0.00616054 0.00625639 0.0063487  0.00643755 0.00652304 0.00660528
 0.00668434 0.00676033 0.0068341  0.00690505 0.00697327 0.00703885
 0.00710186 0.0071624  0.00722053 0.00727071 0.00731888 0.00736511
 0.00740947 0.00745203 0.00749285 0.00753199 0.00756823 0.00760307
 0.00763656 0.00766876 0.00769969 0.0077294  0.00775795 0.00778624
 0.00781318 0.00783883 0.00786326 0.00788652 0.00790869 0.0079298
 0.00794864 0.00796677 0.00798422 0.00800101 0.00801717 0.0080327
 0.00804764 0.00806012 0.00807226 0.00808407 0.00809555 0.00810672
 0.00811758 0.00812814 0.00813606 0.00814372 0.00815112 0.00815828
 0.0081652  0.00817189 0.00817837 0.00818756 0.0081964  0.00820491
 0.0082131  0.00822098 0.00822857 0.00823588]","[0.02553568 0.02741546 0.02921177 0.03092885 0.03257071 0.03414114
 0.03564369 0.03708175 0.0395118  0.04178913 0.0439244  0.04592745
 0.04780738 0.0495726  0.05123089 0.05278862 0.05425622 0.05563953
 0.05694397 0.05817454 0.05933593 0.06043246 0.06211934 0.06372372
 0.06524981 0.06670159 0.06808284 0.06939713 0.07064786 0.07160238
 0.07250321 0.07335347 0.0741561  0.07491384 0.07562931 0.07630492
 0.07709297 0.07783522 0.07853444 0.07919323 0.07981402 0.08039909
 0.08095057 0.08146062 0.08194366 0.08240118 0.08283458 0.08324519
 0.08363425 0.08400295 0.08442915 0.08483357 0.08521738 0.08558172
 0.08592763 0.08625612 0.08656812 0.08693602 0.08728394 0.08761304
 0.08792442 0.0882191  0.08849804 0.08876216 0.08902851 0.08928362
 0.08952807 0.08976239 0.08998712 0.09020276 0.09040977 0.09061359
 0.090806   0.09098773 0.09115944 0.09132175 0.09147524 0.09162045
 0.0918019  0.09197702 0.09214606 0.09230926 0.09246686 0.09261909
 0.09276614 0.09295598 0.09314409 0.09333054 0.09351537 0.09369864
 0.0938804  0.09406071 0.09424024 0.09441491 0.09458488 0.09475035
 0.09491146 0.0950684  0.0952213  0.09536551 0.09550506 0.09564015
 0.09577095 0.09589765 0.09602041 0.0961394 ]","[0.94386486 1.0163248  1.08583422 1.15253295 1.21655333 1.27802062
 1.33705347 1.3937643  1.43451335 1.47297818 1.5092987  1.54360546
 1.57602037 1.60665728 1.63562258 1.6654681  1.69383763 1.72081017
 1.74646004 1.77085721 1.79406755 1.81615311 1.8387146  1.8602033
 1.88067407 1.9001789  1.91876701 1.93648503 1.95337714 1.96708886
 1.98003885 1.99227062 2.00382506 2.01474068 2.02505372 2.0347983
 2.04402377 2.05273485 2.06096168 2.06873255 2.07607402 2.08301104
 2.08956704 2.09606408 2.10222319 2.10806274 2.11360005 2.11885147
 2.12383244 2.12855753 2.13321732 2.13765104 2.14187056 2.14588705
 2.1497111  2.15335269 2.15682125 2.15995169 2.16292073 2.16573713
 2.16840914 2.17094454 2.17335069 2.1756345  2.17812114 2.18051202
 2.18281241 2.18502736 2.18716172 2.18922016 2.19120715 2.19276893
 2.19425274 2.19566309 2.19700419 2.19828001 2.19949429 2.20065054
 2.20204521 2.20339241 2.2046939  2.20595138 2.20716649 2.20834077
 2.20947574 2.21090614 2.21232358 2.21372851 2.21512136 2.21650257
 2.2178726  2.2192319  2.2203868  2.22151286 2.22261109 2.22368247
 2.22472794 2.22574842 2.22674479 2.22763549 2.22849787 2.22933308
 2.23014221 2.23092631 2.23168642 2.2324235 ]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]"
